collection	size	text	tokens
books	2k	ev	[e, ##v]
books	2k	evim	[e, ##v, ##i, ##m]
books	2k	evlerimiz	[e, ##v, ##l, ##e, ##r, ##i, ##m, ##i, ##z]
books	2k	evde	[e, ##v, ##d, ##e]
books	2k	evden	[e, ##v, ##d, ##e, ##n]
books	2k	evdeki	[e, ##v, ##d, ##e, ##k, ##i]
books	2k	evdekiler	[e, ##v, ##d, ##e, ##k, ##i, ##l, ##e, ##r]
books	2k	okudum	[o, ##k, ##u, ##d, ##u, ##m]
books	2k	okudu	[o, ##k, ##u, ##d, ##u]
books	2k	okumak	[o, ##k, ##u, ##m, ##a, ##k]
books	2k	okuma	[o, ##k, ##u, ##m, ##a]
books	2k	okudum	[o, ##k, ##u, ##d, ##u, ##m]
books	2k	okudular	[o, ##k, ##u, ##d, ##u, ##l, ##a, ##r]
books	2k	okuduklarımız	[o, ##k, ##u, ##d, ##u, ##k, ##l, ##a, ##r, ##ı, ##m, ##ı, ##z]
books	2k	okumadım	[o, ##k, ##u, ##m, ##a, ##d, ##ı, ##m]
books	2k	evlerimiz	[e, ##v, ##l, ##e, ##r, ##i, ##m, ##i, ##z]
books	2k	evimiz	[e, ##v, ##i, ##m, ##i, ##z]
books	2k	evimizdeki	[e, ##v, ##i, ##m, ##i, ##z, ##d, ##e, ##k, ##i]
books	2k	evleriniz	[e, ##v, ##l, ##e, ##r, ##i, ##n, ##i, ##z]
books	2k	evlerimizden	[e, ##v, ##l, ##e, ##r, ##i, ##m, ##i, ##z, ##d, ##e, ##n]
books	2k	kitapçılardan	[k, ##i, ##t, ##a, ##p, ##ç, ##ı, ##l, ##a, ##r, ##d, ##a, ##n]
books	2k	gelmeyeceksiniz	[g, ##e, ##l, ##m, ##e, ##y, ##e, ##c, ##e, ##k, ##s, ##i, ##n, ##i, ##z]
books	2k	yazdırılmayacakmışsınız	[y, ##a, ##z, ##d, ##ı, ##r, ##ı, ##l, ##m, ##a, ##y, ##a, ##c, ##a, ##k, ##m, ##ı, ##ş, ##s, ##ı, ##n, ##ı, ##z]
books	2k	demokrasileştirmenin	[d, ##e, ##m, ##o, ##k, ##r, ##a, ##s, ##i, ##l, ##e, ##ş, ##t, ##i, ##r, ##m, ##e, ##n, ##i, ##n]
books	2k	Ankara’dan	[A, ##n, ##k, ##a, ##r, ##a, [UNK], d, ##a, ##n]
books	2k	İstanbul'uyla	[İ, ##s, ##t, ##a, ##n, ##b, ##u, ##l, ', u, ##y, ##l, ##a]
books	2k	İstanbul'a	[İ, ##s, ##t, ##a, ##n, ##b, ##u, ##l, ', a]
books	2k	İstanbul'da	[İ, ##s, ##t, ##a, ##n, ##b, ##u, ##l, ', d, ##a]
books	2k	İstanbul'dan	[İ, ##s, ##t, ##a, ##n, ##b, ##u, ##l, ', d, ##a, ##n]
books	2k	görülebilirdi	[g, ##ö, ##r, ##ü, ##l, ##e, ##b, ##i, ##l, ##i, ##r, ##d, ##i]
books	2k	çalıştırılabilir	[ç, ##a, ##l, ##ı, ##ş, ##t, ##ı, ##r, ##ı, ##l, ##a, ##b, ##i, ##l, ##i, ##r]
books	2k	kapkara	[k, ##a, ##p, ##k, ##a, ##r, ##a]
books	2k	Ankara'ya	[A, ##n, ##k, ##a, ##r, ##a, ', y, ##a]
